name,rating,region_africa_arabia,region_caribbean,region_central_america,region_hawaii,region_asia_pacific,region_south_america,agtron,aroma,acid,body,flavor,aftertaste,desc_1,roast_Dark,roast_Light,roast_Medium,roast_Medium-Dark,roast_Medium-Light,cluster
Nicaragua Yellow Pacamara Natural,94,0,0,1,0,0,0,0.775,9.0,9.0,9.0,9.0,8.0,"Richly sweet-tart, fruit-driven. Dried apricot, almond nougat, clove, freesia-like flowers, lemon verbena in aroma and cup. Sweet-toned structure with complex tart and savory undertones and juicy, bright acidity; nectar-like mouthfeel. The crisp, fruit-forward finish centers around notes of dried apricot and almond nougat.",0,1,0,0,0,0
Gachatha Kenya,96,1,0,0,0,0,0,0.7662337662337663,9.0,9.0,9.0,10.0,9.0,"Richly sweet-savory. Ripe heirloom tomato, pomegranate, cocoa nib, sage, narcissus in aroma and cup. Complex sweet-savory-tart structure with elegantly bright acidity; plush, syrupy-smooth mouthfeel. Long, lingering, flavor-saturated finish that foregrounds tomato, pomegranate and cocoa notes.",0,0,0,0,1,0
Colombia Java El Eden,94,0,0,0,0,0,1,0.7435897435897436,9.0,9.0,9.0,9.0,8.0,"Bright, citrusy, floral-toned. Pink grapefruit zest, lemon thyme, baking chocolate, date, lilac in aroma and cup. Crisply sweet structure with balanced acidity; very smooth, satiny mouthfeel. Citrusy finish with undertones of baking chocolate.",0,0,0,0,1,0
Colombia Tolima Geisha,94,0,0,0,0,0,1,0.7560975609756098,9.0,9.0,9.0,9.0,8.0,"Delicate, fruit- and floral-toned. Apricot, honeysuckle, cocoa nib, white peppercorn, myrrh in aroma and cup. Deeply sweet structure with gently bright acidity; silky-smooth mouthfeel. Quiet but pretty finish with notes of apricot and white peppercorn and a hint of honeysuckle in the long.",0,1,0,0,0,0
Ethiopia Gatame Muka Natural,93,1,0,0,0,0,0,0.7428571428571429,9.0,9.0,8.0,9.0,8.0,"Richly sweet-tart, fruit-centered. Pomegranate, dark chocolate, toffee, cedar, narcissus-like flowers in aroma and cup. Tart-leaning structure with vibrant, juicy acidity; satiny-smooth mouthfeel. Finish consolidates to notes of pomegranate and cedar with dark chocolate undertones.",0,0,0,0,1,0
Ethiopia Gedeb Worka Sakaro,95,1,0,0,0,0,0,0.7692307692307693,9.0,9.0,9.0,9.0,9.0,"Deeply sweet, intensely pungent. Dark chocolate, pink grapefruit zest, wisteria, maple syrup, myrrh in aroma and cup. Deeply sweet-toned in structure with lively, juicy acidity; syrupy mouthfeel. The finish is long and satisfying: flavor-saturated, floral-, chocolate- and fruit-toned, harmoniously balanced.",0,0,0,0,1,0
Yemen,93,1,0,0,0,0,0,0.7714285714285715,9.0,8.0,9.0,9.0,8.0,"Richly sweet, deeply aromatic, vibrant. Dried apricot, dark chocolate, narcissus, pink grapefruit zest, sandalwood in aroma and cup. Sweet-tart structure with lively, balanced acidity; full, creamy mouthfeel. A quiet finish centers around chocolate and apricot notes supported by sandalwood.",0,0,0,0,1,0
El Floral Colombia,95,0,0,0,0,0,1,0.7662337662337663,9.0,9.0,9.0,9.0,9.0,"Delicate, confident, complex, lyrical. Passion fruit, cocoa nib, wisteria, lemon verbena, agave syrup in aroma and cup. Sweet-tart structure with juicy, bright acidity; plush, syrupy mouthfeel. Rich, long, flavor-saturated finish.",0,0,0,0,1,0
Colombia Pink Bourbon El Corazon,93,0,0,0,0,0,1,0.7297297297297297,9.0,9.0,8.0,9.0,8.0,"Rich-toned, deeply floral. Honeysuckle, nectarine, pink peppercorn, oak, Meyer lemon zest in aroma and cup. Vibrantly sweet-tart structure with juicy acidity; crisp, satiny mouthfeel. Spice-toned finish with pretty floral and citrus notes.",0,0,0,0,1,0
Esperanza Bourbon,92,0,0,1,0,0,0,0.7763157894736842,8.0,9.0,8.0,9.0,8.0,"Bright, deeply chocolaty. Dark chocolate, grapefruit zest, plum, hazelnut, thyme in aroma and cup. Sweet-tart structure with juicy acidity; full, satiny mouthfeel. Chocolaty, nut-toned finish with undertones of fresh-cut thyme.",0,0,0,0,1,0
Nano Challa #6 Ethiopia,93,1,0,0,0,0,0,0.7631578947368421,9.0,9.0,8.0,9.0,8.0,"High-toned, richly floral. Star jasmine, cocoa nib, bergamot, almond nougat, oak in aroma and cup. Sweet-tart structure with bright, juicy acidity; full, satiny mouthfeel. Inviting finish that leads with notes of jasmine and bergamot in the short, rounding to almond and cocoa nib in the long.",0,0,0,0,1,0
Karani Kenya,95,1,0,0,0,0,0,0.7567567567567568,9.0,9.0,9.0,9.0,9.0,"Complex, fruit-toned and chocolaty. Red currant, dark chocolate, hazelnut butter, narcissus, agave syrup in aroma and cup. Sweet-toned structure with vibrant, juicy acidity; full, syrupy-smooth mouthfeel. The deep, chocolaty finish supported by sweet-tart fruit notes and narcissus-like florals.",0,0,0,0,1,0
El Salvador Las Mercedes La Avila,93,0,0,1,0,0,0,0.7777777777777778,9.0,9.0,8.0,9.0,8.0,"Rich-toned, chocolaty and floral. Baking chocolate, honeysuckle, lemon verbena, almond butter, cedar in aroma and cup. Sweet-tart structure with bright, juicy acidity; satiny-smooth mouthfeel. Chocolate up front in the short finish, followed by almond and lemon verbena in the long.",0,0,0,0,1,0
Ethiopia Kochere Washed Saona Lot,95,1,0,0,0,0,0,0.7215189873417721,9.0,9.0,9.0,9.0,9.0,"High-toned, richly sweet-tart. Apricot, wild honey, sandalwood, roasted cacao nib, lilac in aroma and cup. Sweetly tart structure with vibrant, juicy acidity; plush, syrupy mouthfeel. The finish is resonant with all the aroma and flavor notes of the cup, leading with apricot and lilac in the short and cocoa-toned sandalwood in the long, all sustained by a deep, honeyish sweetness. ",0,0,0,0,1,0
Kenya Karuthi AA,95,1,0,0,0,0,0,0.7777777777777778,9.0,9.0,9.0,9.0,9.0,"Complex, layered, spice-toned. Coconut, blackberry, ginger blossom, wild honey, dark chocolate in aroma and cup. The structure is sweet, tart and savory in balance with juicy, bright acidity. Plush, syrupy mouthfeel. The long, resonant finish centers around berry and coconut, supported by ginger blossom and chocolate.",0,0,0,0,1,0
Brazil Recreio Selectivo,92,0,0,0,0,0,1,0.725,9.0,8.0,8.0,9.0,8.0,"Richly sweet, nut-toned. Baker’s chocolate, hazelnut butter, pear, agave syrup, fresh-cut fir in aroma and cup. Sweet-toned structure with brisk acidity; satiny-smooth mouthfeel. Chocolate- and nut-toned in the long, resonant finish.",0,0,0,0,1,0
Kenya Ruthaka Peaberry,95,1,0,0,0,0,0,0.6666666666666666,9.0,9.0,9.0,10.0,8.0,"Deeply sweet, richly savory. Dark chocolate, pistachio, red currant jam, honeysuckle, a hint of marjoram in aroma and cup. Balanced, sweetly savory structure with elegant, lilting acidity; lush, syrupy mouthfeel. The resonant finish consolidates to notes of dark chocolate and red currant, with undertones of crisp marjoram.",0,0,1,0,0,0
Mojave Vault Series Geisha Natural,94,0,0,1,0,0,0,0.7619047619047619,9.0,9.0,9.0,9.0,8.0,"Crisply sweet, delicately tart. Apricot, cocoa nib, lavender, lemon verbena, cedar in aroma and cup. Sweet-tart structure with juicy, vibrant acidity; lively, silky mouthfeel. Finish consolidates to notes of cocoa nib and lemon verbena.",0,1,0,0,0,0
Kenya Baragwi Guama AB,95,1,0,0,0,0,0,0.75,9.0,9.0,9.0,9.0,9.0,"Crisply sweet, richly savory, floral-toned. Peach, lilac, ripe sungold cherry tomato, almond brittle, frankincense in aroma and cup. Sweet-umami structure with jazzy acidity; very syrupy-smooth mouthfeel. The flavor-saturated finish carries over the promise of all the flavor notes from the cup. ",0,0,0,0,1,0
Ethiopia Washed Shantawene,94,1,0,0,0,0,0,0.7692307692307693,9.0,9.0,9.0,9.0,8.0,"Complex, richly sweet-tart. Nectarine, Meyer lemon zest, cocoa nib, nougat, lilac in aroma and cup. Sweet-tart structure with juicy, balanced acidity; delicate, satiny-smooth mouthfeel. The finish consolidates to notes of cocoa nib and Meyer lemon.",0,0,0,0,1,0
Colombia La Cabana,92,0,0,0,0,0,1,0.717948717948718,9.0,8.0,8.0,9.0,8.0,"Richly sweet-savory. Tamarind, cedar, honeysuckle, toffee, fine musk in aroma and cup. Savory-sweet structure with gentle, round acidity; satiny-smooth mouthfeel. Resonant finish with tamarind and toffee at the center.",0,0,0,0,1,0
Kenya Nyeri AA Hercules,93,1,0,0,0,0,0,0.75,9.0,8.0,9.0,9.0,8.0,"Balanced, sweetly savory. Narcissus, date, orange zest, tamarind, cedar in aroma and cup. Sweet structure with brisk acidity; full, syrupy-smooth mouthfeel. The finish leads with notes of tamarind, supported by orange zest and cedar.",0,0,0,0,1,0
Kenya Karindundu AB,93,1,0,0,0,0,0,0.76,9.0,9.0,8.0,9.0,8.0,"Complex, richly bittersweet. Cocoa nib, goji berry, myrrh, cashew butter, hop flowers in aroma and cup. Sweetly savory structure with juicy acidity; crisp, lightly syrupy mouthfeel. The resonant finish leads with goji berry and hop flowers in the short, rounding to cashew butter in the long.",0,0,0,0,1,0
Kenya Kiambu AB Top Lot,94,1,0,0,0,0,0,0.75,9.0,9.0,9.0,9.0,8.0,"Complex, nuanced, multi-layered. Black currant, freesia-like flowers, honey, Nutella, cedar in aroma and cup. Sweetly tart structure with juicy, high-toned acidity; syrupy-smooth mouthfeel. The resonant finish leads with currant and freesia notes in the short, rounding to Nutella and cedar in the long.",0,0,0,0,1,0
Ethiopia Hambela Alaka,93,1,0,0,0,0,0,0.7142857142857143,9.0,9.0,8.0,9.0,8.0,"High-toned, crisply sweet-tart. Apricot, almond, maple syrup, narcissus-like flower, cedar in aroma and cup. Sweetly tart structure with bright, juicy acidity; satiny mouthfeel. Resonant, flavor-saturated finish: apricot and narcissus in the short with cedar resurfacing in the long.",0,0,0,0,1,0
Honduras Reserve Luis Nolasco Nanolot,93,0,0,1,0,0,0,0.725,9.0,8.0,9.0,9.0,8.0,"Crisply sweet, bright and balanced. Cocoa nib, cherry, brown sugar, lemon thyme, magnolia in aroma and cup. Sweetly tart with brisk acidity; plush, syrupy mouthfeel. Cocoa-toned finish with notes of brown sugar and magnolia.",0,0,0,0,1,0
Ethiopia Banko Gotiti,94,1,0,0,0,0,0,0.7402597402597403,9.0,9.0,9.0,9.0,8.0,"Complex, intricate, deeply sweet. Star jasmine, cocoa nib, nectarine, frankincense, spearmint in aroma and cup. Bright, juicy acidity; plush, velvety mouthfeel. Resonant, flavor-saturated finish leads with notes of star jasmine and nectarine, balanced by suggestions of crisp cocoa.",0,0,0,0,1,0
Ethiopia Sidamo,92,1,0,0,0,0,0,0.7230769230769231,9.0,8.0,8.0,9.0,8.0,"Richly sweet, roast-rounded. Dark chocolate, gardenia, gently scorched cedar, red plum, hazelnut in aroma and cup. Sweet structure with little discernible acidity; full, creamy mouthfeel. A chocolate-driven finish is supported by notes dark chocolate, gardenia and hazelnut.",0,0,1,0,0,0
Colombia Asobombo Inza,94,0,0,0,0,0,1,0.7380952380952381,9.0,9.0,9.0,9.0,8.0,"High-toned, crisply sweet-tart. Concord grape, rhododendron, cocoa nib, sandalwood, maple syrup in aroma and cup. Brightly sweet structure with tart, juicy acidity; very plush, syrupy mouthfeel. The resonant finish consolidates to notes of cocoa nib and maple syrup with undertones of Concord grape.",0,1,0,0,0,0
Colombia La Victoria,92,0,0,0,0,0,1,0.7435897435897436,9.0,8.0,8.0,9.0,8.0,"Rich-toned, deeply aromatic. Dark chocolate, hop flowers, brown sugar, orange zest, hazelnut in aroma and cup. Bittersweet structure with gentle, round acidity; velvety mouthfeel. Chocolaty finish with undertones of orange zest and hazelnut. ",0,0,0,0,1,0
Guatemala Carlos Rivas,93,0,0,1,0,0,0,0.7837837837837838,9.0,8.0,9.0,9.0,8.0,"Richly sweet-savory, chocolate-toned. Dark chocolate, date, pralines, tiger lily, a hint of cumin in aroma and cup. Sweet-savory structure with gentle, round acidity; plump, syrupy mouthfeel. Gently drying finish is chocolaty through and through with undertones of pralines and flowers.",0,0,0,0,1,0
Empress Kenya,95,1,0,0,0,0,0,0.7837837837837838,9.0,9.0,9.0,9.0,9.0,"Complex, nuanced, multi-layered. Red currant, cinnamon, lavender, marjoram, wild honey in aroma and cup. Sweetly tart structure with juicy, high-toned acidity; very syrupy mouthfeel. Resonant finish; fruit and floral notes carry forward and cocoa emerges.",0,0,0,0,1,0
Rwanda Gatare Natural,93,1,0,0,0,0,0,0.7631578947368421,9.0,8.0,9.0,9.0,8.0,"Balanced, crisply fruit-toned. Black cherry, orange zest, almond, agave syrup, hint of lilac in aroma and cup. Sweet-toned structure with gentle acidity; full, syrupy mouthfeel. Delicately fruit-toned finish with undertones of almond.",0,0,0,0,1,0
Nano Genji Agaro Gera,94,1,0,0,0,0,0,0.7647058823529411,9.0,9.0,9.0,9.0,8.0,"Deep-toned, fruit-centered, richly aromatic. Dark chocolate, black cherry, star jasmine, oak, almond brittle in aroma and cup. Sweet-tart structure with crisp, lively acidity; plush, viscous mouthfeel. Finish centers around dark chocolate and black cherry.",0,0,1,0,0,0
Kenya Kamgogo Small Lot Reserve,93,1,0,0,0,0,0,0.8656716417910447,9.0,9.0,8.0,9.0,8.0,"Richly sweet-savory, subtly complex. Bing cherry, cocoa nib, Meyer lemon zest, fresh-cut fir, Nutella in aroma and cup. Balanced, sweetly savory structure with juicy-bright acidity; crisp, velvety mouthfeel. The finish consolidates to notes of crisp citrus and sweet Nutella notes.",0,0,0,0,1,0
Ethiopia Keramo Washed,92,1,0,0,0,0,0,0.7837837837837838,9.0,8.0,8.0,9.0,8.0,"Crisply sweet-tart. Pineapple, baking chocolate, hazelnut, lily, fresh-cut fir in aroma and cup. Sweetly tart structure with pert acidity; crisp, satiny mouthfeel. The finish centers around notes of pineapple and lily with hints of hazelnut.",0,0,0,0,1,0
Rwanda Nyamagabe Kigeme Lot #4,93,1,0,0,0,0,0,0.7380952380952381,9.0,8.0,9.0,9.0,8.0,"Crisply sweet, deeply rich. Baking chocolate, hazelnut nougat, narcissus, red grape, fresh-cut oak in aroma and cup. Sweet, balanced structure with brisk acidity; plush, syrupy mouthfeel. The finish centers around notes of baking chocolate and hazelnut supported by red grape and fresh-cut oak.",0,1,0,0,0,0
Ethiopia Sidama Naia Bombe Dry Ferment Vertical Reserve,93,1,0,0,0,0,0,0.7407407407407407,9.0,9.0,8.0,9.0,8.0,"Richly sweet-savory, spice- and floral-toned. Black cherry, tangerine zest, gardenia, marjoram, a hint of bay leaf in aroma and cup. In structure, sweet-tart and juicy with a savory depth. Syrupy and plush in mouthfeel; spicy flowers lead in a quietly flavor-saturated finish.    ",0,0,0,0,1,0
Kenya Nyeri Gathaithi,93,1,0,0,0,0,0,0.7948717948717948,9.0,9.0,8.0,9.0,8.0,"Balanced, sweetly savory. Wisteria, black currant, lime zest, tamarind, cedar in aroma and cup. Sweet-savory structure with bight, juicy acidity; full, syrupy-smooth mouthfeel. The finish leads with notes of tamarind, supported by lime zest and cedar.",0,0,0,0,1,0
Cordillera del Fuego Costa Rica Anaerobic,93,0,0,1,0,0,0,0.75,9.0,9.0,8.0,9.0,8.0,"Crisply sweet, richly tart-savory. Dried apricot, marjoram, wild honey, oak, narcissus in aroma and cup. Balanced sweet-tart structure with vibrant, juicy acidity; satiny-smooth mouthfeel. The finish consolidates to dried apricot and marjoram with undertones of honey.",0,0,0,0,1,0
Malaysia Sabah Honey,92,0,0,0,0,0,0,0.7948717948717948,9.0,8.0,9.0,9.0,8.0,"Richly sweet, delicately spice-toned. Baking chocolate, date, brown sugar, nutmeg, fresh-cut oak in aroma and cup. Sweet-toned structure with brisk acidity; smooth, silky mouthfeel. The finish consolidates to notes of baking chocolate and nutmeg.",0,0,0,0,1,0
Ethiopia Yirgacheffe GR1 Bedhatu Jibicho Washed,93,1,0,0,0,0,0,0.7567567567567568,9.0,8.0,9.0,9.0,8.0,"Deeply sweet, crisply herb-toned. Lemon verbena, plum, baking chocolate, hazelnut, honeysuckle in aroma and cup. Sweetly tart structure with brisk acidity; full, syrupy mouthfeel. Resonant finish with lemon verbena and baking chocolate front and center.",0,0,0,0,1,0
Organic Ethiopia Yirgacheffe FTO,93,1,0,0,0,0,0,0.726027397260274,9.0,9.0,8.0,9.0,8.0,"High-toned, crisply sweet-tart. Apricot, cocoa nib, Meyer lemon zest, cedar, lilac in aroma and cup. Sweetly tart structure with juicy, vibrant acidity; full, satiny mouthfeel. The finish centers around notes of apricot and cocoa with lilac undertones.",0,0,0,0,1,0
Kenya Nyeri Yerihar AA Top Lot 21/01,94,1,0,0,0,0,0,0.7307692307692307,9.0,9.0,9.0,9.0,8.0,"Richly sweet, deeply savory. Lilac, black currant, lime zest, tamarind, cedar in aroma and cup. Balanced structure with lively acidity; plush, syrupy-smooth mouthfeel. The finish leads with lilac and black currant in the short; lime zest and cedar carry the long.",0,0,0,0,1,0
Colombia Pink Bourbon,94,0,0,0,0,0,1,0.7792207792207793,9.0,9.0,9.0,9.0,8.0,"Complex, nuanced, high-toned. Wild raspberry, honeysuckle, cocoa nib, tangerine zest, honey in aroma and cup. Sweetly tart with juicy-bright acidity; full, satiny-smooth mouthfeel. The inviting finish leads with notes of cocoa nib and honey.",0,0,0,0,1,0
Guatemala Concepción Buena Vista,90,0,0,1,0,0,0,0.7662337662337663,8.0,8.0,8.0,8.0,8.0,"Delicate, sweet-toned. Apricot, fresh-cut fir, magnolia, hazelnut, cocoa powder in aroma and cup. Sweet in structure with lively acidity; velvety mouthfeel. The finish is richly drying with notes of hazelnut, fir and cocoa powder.",0,0,0,0,1,0
Mbeguka Kenya,93,1,0,0,0,0,0,0.7297297297297297,9.0,9.0,8.0,9.0,8.0,"Richly sweet, deeply savory. Red currant, hop flowers, fresh-cut cedar, tamarind, spearmint in aroma and cup. Bright, sweet-savory structure with lively acidity; full, velvety mouthfeel. The short finish is flavor-saturated, consolidating in the long to notes of red currant and spearmint.",0,0,0,0,1,0
Ethiopia Herfusa Single Variety Natural,93,1,0,0,0,0,0,0.7692307692307693,9.0,9.0,8.0,9.0,8.0,"Delicate, berry-toned, richly sweet. Raspberry, honey, narcissus-like flowers, cedar, almond butter in aroma and cup. Sweetly tart structure with juicy, high-toned acidity; lively, full mouthfeel. Resonant, flavor-saturated finish consolidates to notes of raspberry and almond, supported by sweet floral hints.",0,0,0,0,1,0
Puna Champagne Natural Anaerobic,93,0,0,0,1,0,0,0.7435897435897436,9.0,8.0,9.0,9.0,8.0,"High-toned, richly fruit-forward, balanced. Strawberry guava, jasmine, cocoa nib, sandalwood, pink grapefruit zest in aroma and cup. Sweet-tart structure with crisp, bright acidity; vibrantly plush, syrupy mouthfeel. The resonant finish centers around guava and jasmine notes with undertones of cocoa nib.",0,0,0,0,1,0
Karamo Ethiopia,94,1,0,0,0,0,0,0.7692307692307693,9.0,9.0,9.0,9.0,8.0,"Crisply sweet-tart. Passion fruit, lemon verbena, cocoa nib, freesia, cedar in aroma and cup. Gently tart structure with sweet, high-toned acidity; very smooth, satiny mouthfeel. Cocoa-toned finish supported by notes of lemon verbena and freesia.",0,0,0,0,1,0
Kenya FSC AB,94,1,0,0,0,0,0,0.746268656716418,9.0,9.0,9.0,9.0,8.0,"Richly sweet, deeply chocolaty. Chocolate fudge, red currant, wisteria, cedar, agave syrup in aroma and cup. Crisp, sweetly tart structure with vibrant, juicy acidity; plush, viscous mouthfeel. Quiet finish centered around notes of chocolate, wisteria and cedar.",0,0,1,0,0,0
Ethiopia Mulegeta Sintayehu Washed,94,1,0,0,0,0,0,0.7662337662337663,9.0,9.0,9.0,9.0,8.0,"High-toned, richly sweet-tart. Dried apricot, tangerine zest, almond, narcissus-like flowers, cedar in aroma and cup. Sweetly tart in structure with balanced, juicy acidity; crisp yet syrupy mouthfeel. The finish is richly bittersweet and long, centered on notes of tangerine zest and cedar.",0,0,0,0,1,0
Guatemala (from bulk bin),89,0,0,1,0,0,0,0.7333333333333333,8.0,7.0,8.0,9.0,7.0,"Balanced, sweet-toned. Baking chocolate, almond, date, molasses, magnolia in aroma and cup. Bittersweet structure with little perceptible acidity; satiny-smooth mouthfeel. A rather muted finish centers around almond and baking chocolate. ",0,0,1,0,0,0
Ethiopia Natural Yirgacheffe Blue Donkey Lot #2,94,1,0,0,0,0,0,0.717948717948718,9.0,9.0,9.0,9.0,8.0,"Delicate, berry-toned, deeply sweet. Wild strawberry, honey, freesia-like flowers, oak, almond paste in aroma and cup. Sweetly tart structure with juicy, high-toned acidity; lively, silky mouthfeel. Resonant, flavor-saturated finish sustains all of the notes from the cup, wild strawberry and almond in particular.",0,0,0,0,1,0
Rukira Kenya,94,1,0,0,0,0,0,0.725,9.0,9.0,9.0,9.0,8.0,"Rich-toned, crisply sweet-savory. Red currant, hop flowers, pink grapefruit zest, cocoa nib, sandalwood in aroma and cup. Structure is equal parts sweet and savory, with vibrant, juicy acidity; plush, syrupy mouthfeel. The finish is centered around notes of red currant and hop flowers supported by cocoa throughout.",0,0,0,0,1,0
Ethiopia Natural Yirgacheffe Banko Gotiti,94,1,0,0,0,0,0,0.7428571428571429,9.0,9.0,9.0,9.0,8.0,"Richly sweet, cleanly fruit-driven, floral-toned. Raspberry jam, dark chocolate, gardenia, cedar, maple syrup in aroma and cup. Sweetly tart structure with bright, juicy acidity; crisp though syrupy mouthfeel. A resonant finish centers around raspberry and chocolate with hints of cedar.",0,0,0,0,1,0
Kenya Karindudu AA,95,1,0,0,0,0,0,0.7368421052631579,9.0,9.0,9.0,9.0,9.0,"Deep-toned, floral and chocolaty. Dark chocolate, honeysuckle, tamarind, mulberry, fresh-cut oak in aroma and cup. Sweet-savory structure with gentle, rounded but vibrant acidity; very syrupy, viscous mouthfeel. Long, lingering, balanced, flavor-saturated finish.",0,0,0,0,1,0
Kenya Kimaruri,94,1,0,0,0,0,0,0.75,9.0,9.0,9.0,9.0,8.0,"Crisply sweet, richly savory, vibrant. Red currant, jasmine, maple syrup, sandalwood, cacao nib in aroma and cup. The structure is harmoniously sweet-tart-savory with juicy, lively acidity. Plush, syrupy mouthfeel. The richly drying finish centers around red currant and sandalwood with a hint of jasmine in the long.",0,0,0,0,1,0
Sumatra Pantan Musara,94,0,0,0,0,1,0,0.7837837837837838,9.0,9.0,9.0,9.0,8.0,"Richly sweet-savory, deeply aromatic. Black currant, cocoa nib, pink peppercorn, lilac, sandalwood in aroma and cup. Sweet-savory structure with high-toned acidity; viscous, satiny mouthfeel. Resonant, umami-leaning finish with notes of pink peppercorn and sandalwood.",0,0,0,0,1,0
Ethiopia Yirgacheffe Chelelektu Natural,96,1,0,0,0,0,0,0.7073170731707317,9.0,9.0,9.0,10.0,9.0,"Deeply sweet, elegantly rich. Mulberry, sandalwood, tangerine zest, jasmine, baking spices in aroma and cup. Sweetly tart in structure with high-toned, juicy acidity; plush, syrupy mouthfeel. The seemingly infinite finish fulfills the promise of the cup, leading with deep berry and citrus zest, rounding to floral-toned spice.",0,0,0,0,1,0
Burundi Mikuba Honey Microlot 1,93,1,0,0,0,0,0,0.775,9.0,8.0,9.0,9.0,8.0,"Deeply sweet, round, balanced. Apricot, baking chocolate, freesia-like flowers, cedar, maple syrup in aroma and cup. Crisply sweet structure with quietly lively acidity; buoyant, silky mouthfeel. Suggestions of baking chocolate and maple syrup support the cedar-toned finish.",0,1,0,0,0,0
Ethiopia Tamiru Tadesse Anaerobic,96,1,0,0,0,0,0,0.775,9.0,9.0,9.0,10.0,9.0,"Richly sweet-tart, delicately balanced. Lychee, cocoa nib, sandalwood, star jasmine, hot buttered rum in aroma and cup. High-toned structure with juicy-bright acidity; very smooth, syrupy mouthfeel. Resonant, flavor-laden finish.",0,1,0,0,0,0
